...1,Date,Team,Acquired,Relinquished,Notes
25719,10/18/2017,Suns,NA,Davon Reed,placed on IL recovering from surgery on left knee to repair torn meniscus
25720,10/18/2017,Suns,NA,Jared Dudley,placed on IL recovering from surgery to repair ligament and bone in toe
25721,10/18/2017,Timberwolves,NA,Anthony Brown,placed on IL
25722,10/18/2017,Timberwolves,NA,Justin Patton,placed on IL frecovering from surgery on left foot to repair fracture
25723,10/18/2017,Wizards,NA,Devin Robinson,placed on IL with stress fracture in left foot
25724,10/18/2017,Wizards,NA,Markieff Morris,placed on IL recovering from surgery to repair sports hernia
25725,10/18/2017,Wizards,NA,Mike Young,placed on IL
25726,10/18/2017,Wizards,NA,Sheldon McClellan / Sheldon Mac,placed on IL recovering from surgery to repair torn left Achilles tendon
25727,10/19/2017,Bulls,NA,Cameron Payne,placed on IL with recovering from surgery to repair fractured right foot
25728,10/19/2017,Bulls,NA,Kris Dunn,placed on IL with dislocated left index finger
25729,10/19/2017,Bulls,NA,Nikola Mirotic,placed on IL with fractured bones in face
25730,10/19/2017,Bulls,NA,Zach LaVine,placed on IL recovering from torn ACL in left knee
25731,10/19/2017,Clippers,NA,C.J. Williams,placed on IL
25732,10/19/2017,Clippers,NA,Jamil Wilson,placed on IL with lower back spasms
25733,10/19/2017,Clippers,NA,Jawun Evans,placed on IL
25734,10/19/2017,Knicks,NA,Jarrett Jack,placed on IL
25735,10/19/2017,Knicks,NA,Luke Kornet,placed on IL
25736,10/19/2017,Knicks,NA,Mindaugas Kuzminskas,placed on IL
25737,10/19/2017,Lakers,NA,Ivica Zubac,placed on IL
25738,10/19/2017,Lakers,NA,Josh Hart,placed on IL with bursitis in left heel
25739,10/19/2017,Lakers,NA,Thomas Bryant,placed on IL
25740,10/19/2017,Lakers,NA,Vander Blue,placed on IL
25741,10/19/2017,Raptors,NA,Bruno Caboclo,placed on IL
25742,10/19/2017,Raptors,NA,K.J. McDaniels,placed on IL
25743,10/19/2017,Raptors,NA,Lorenzo Brown,placed on IL
25744,10/19/2017,Raptors,NA,Malcolm Miller,placed on IL with surgery on right ankle
25745,10/19/2017,Thunder,NA,Daniel Hamilton,placed on IL
25746,10/19/2017,Thunder,NA,Kyle Singler,placed on IL
25747,10/19/2017,Thunder,NA,P.J. Dozier,placed on IL
25748,10/20/2017,Blazers,NA,Wade Baldwin IV,placed on IL with surgery on right thumb
25749,10/20/2017,Cavaliers,NA,London Perrantes,placed on IL
25750,10/20/2017,Celtics,NA,Marcus Smart,placed on IL with sore ankle
25752,10/20/2017,Hawks,NA,DeAndre' Bembry,placed on IL with fractured right wrist
25754,10/20/2017,Hornets,NA,Cody Zeller,bone bruise in right knee (DTD)
25755,10/20/2017,Jazz,NA,Nate Wolters,placed on IL
25757,10/20/2017,Kings,NA,Georgios Papagiannis / Giorgios Papagiannis / George Papagiannis,placed on IL
25759,10/20/2017,Lakers,NA,Luol Deng,placed on IL with surgery on right pectoral muscle (out indefinitely)
25761,10/20/2017,Magic,NA,Aaron Gordon,placed on IL with sore left ankle
25763,10/20/2017,Mavericks,NA,Dennis Smith Jr.,placed on IL with sore left knee
25765,10/20/2017,Nets,NA,Jeremy Lin,placed on IL recovering from surgery on right knee to repair ruptured patella tendon (out for season)
25767,10/20/2017,Pacers,NA,Myles Turner,placed on IL with concussion
25769,10/20/2017,Pistons,NA,Boban Marjanovic,placed on IL
25772,10/20/2017,Warriors,NA,Kevon Looney,placed on IL
25773,10/20/2017,Warriors,NA,Omri Casspi,placed on IL with sprained left ankle
25776,10/20/2017,Wizards,NA,Jason Smith,placed on IL with sprained right shoulder
25778,10/21/2017,76ers,NA,Joel Embiid,placed on IL with rehab of left knee
25780,10/21/2017,Bucks,NA,Joel Bolomboy,placed on IL
25781,10/21/2017,Bucks,NA,Rashad Vaughn,placed on IL
25782,10/21/2017,Cavaliers,NA,Derrick Rose,placed on IL with sprained left ankle
25784,10/21/2017,Grizzlies,NA,JaMychal Green,placed on IL with sprained left ankle
25786,10/21/2017,Heat,NA,Hassan Whiteside,placed on IL with bruised left knee
25789,10/21/2017,Jazz,NA,Rodney Hood,placed on IL with strained left calf
25791,10/21/2017,Knicks,NA,Frank Ntilikina,placed on IL with sprained left ankle
25792,10/21/2017,Knicks,NA,Isaiah Hicks,placed on IL
25794,10/21/2017,Magic,NA,Elfrid Payton,placed on IL with sore/strained left hamstring
25796,10/21/2017,Nuggets,NA,Richard Jefferson,placed on IL
25797,10/21/2017,Pistons,NA,Eric Moreland,placed on IL
25799,10/21/2017,Rockets,NA,Chris Paul,placed on IL with bruised left knee
25801,10/22/2017,Hawks,NA,Nicolas Brussino,placed on IL
25803,10/22/2017,Lakers,NA,Alex Caruso,placed on IL
25805,10/23/2017,76ers,NA,James Michael McAdoo / James McAdoo (Michael),placed on IL
25807,10/23/2017,Hawks,NA,Dennis Schröder,placed on IL with sprained left ankle
25809,10/23/2017,Hornets,NA,Julyan Stone,placed on IL with strained left hamstring
25810,10/23/2017,Hornets,NA,Marcus Paige,placed on IL
25811,10/23/2017,Hornets,NA,Michael Carter-Williams,placed on IL with sore knee
25813,10/23/2017,Kings,NA,JaKarr Sampson,placed on IL
25815,10/23/2017,Nuggets,NA,Juancho Hernangomez / Juan Hernangomez,placed on IL with mononucleosis
25818,10/23/2017,Raptors,NA,Jonas Valanciunas,placed on IL with sprained left ankle
25820,10/23/2017,Suns,NA,Alec Peters,placed on IL
25821,10/23/2017,Suns,NA,Eric Bledsoe,placed on IL
25823,10/23/2017,Warriors,NA,Quinn Cook,placed on IL
25825,10/23/2017,Wizards,NA,Mike Young,placed on IL
25826,10/24/2017,Bulls,NA,Antonio Blakeney,placed on IL
25827,10/24/2017,Clippers,NA,Milos Teodosic / Milos Tedosic,placed on IL with plantar fascia in left foot
25829,10/24/2017,Jazz,NA,Nate Wolters,placed on IL
25831,10/24/2017,Magic,NA,Khem Birch,placed on IL
25834,10/24/2017,Nets,NA,Sean Kilpatrick,placed on IL with illness
25835,10/25/2017,Jazz,NA,Tony Bradley,placed on IL
25837,10/25/2017,Mavericks,NA,Gian Clavell,placed on IL
25838,10/25/2017,Nets,NA,D'Angelo Russell,placed on IL with sprained right knee
25839,10/25/2017,Pistons,NA,Boban Marjanovic,placed on IL
25841,10/25/2017,Rockets,NA,Briante Weber,placed on IL
25842,10/25/2017,Rockets,NA,Nene / Nene Hilario / Maybyner Hilario,placed on IL with sore left Achilles
25843,10/25/2017,Rockets,NA,Trevor Ariza,placed on IL with sprained left foot
25844,10/25/2017,Timberwolves,NA,Jimmy Butler,placed on IL with upper respiratory illness
25845,10/25/2017,Warriors,NA,JaVale McGee,placed on IL
25848,10/26/2017,Bucks,NA,Gary Payton II,placed on IL
25853,10/27/2017,Hawks,NA,Nicolas Brussino,placed on IL
25855,10/27/2017,Knicks,NA,Ron Baker,placed on IL with sore left ankle
25857,10/27/2017,Nets,NA,Isaiah Whitehead,placed on IL
25861,10/27/2017,Warriors,NA,Jordan Bell,placed on IL
25864,10/28/2017,76ers,NA,Jahlil Okafor,placed on IL with upper respiratory infection
25866,10/28/2017,Bulls,NA,Antonio Blakeney,placed on IL
25867,10/28/2017,Bulls,NA,Ryan Arcidiacono,placed on IL
25869,10/28/2017,Grizzlies,NA,Kobi Simmons,placed on IL
25870,10/28/2017,Mavericks,NA,Gian Clavell,placed on IL
25871,10/28/2017,Pistons,NA,Luke Kennard,placed on IL
25873,10/28/2017,Rockets,NA,Eric Gordon,placed on IL with stomach virus
25876,10/28/2017,Heat,NA,Matt Williams,placed on IL
25878,10/29/2017,Bucks,NA,Greg Monroe,placed on IL with sore left calf
25880,10/29/2017,Cavaliers,NA,Ante Zizic,placed on IL
25882,10/29/2017,Hawks,NA,Ersan Ilyasova,placed on IL with bone bruise in left knee / strained left knee
25884,10/29/2017,Hornets,NA,Mangok Mathiang,placed on IL
25885,10/29/2017,Kings,NA,George Hill,placed on IL for rest
25886,10/29/2017,Kings,NA,Zach Randolph,placed on IL for rest / sore left foot
25889,10/29/2017,Magic,NA,Jonathan Isaac,placed on IL with illness
25891,10/29/2017,Nets,NA,DeMarre Carroll,placed on IL with sore right ankle
25892,10/29/2017,Nets,NA,Quincy Acy,placed on IL with strained left groin
25894,10/29/2017,Spurs,NA,Joffrey Lauvergne,placed on IL with sprained right ankle
25896,10/29/2017,Warriors,NA,Quinn Cook,placed on IL
25898,10/30/2017,76ers,NA,J.J. Redick,placed on IL with tightness in lower back
25899,10/30/2017,76ers,NA,James Michael McAdoo / James McAdoo (Michael),placed on IL
25900,10/30/2017,76ers,NA,Markelle Fultz,placed on IL with sore right shoulder
25903,10/30/2017,Celtics,NA,Jabari Bird,placed on IL
25904,10/30/2017,Grizzlies,NA,Ivan Rabb,placed on IL
25905,10/30/2017,Heat,NA,Okaro White,placed on IL
25908,10/30/2017,Mavericks,NA,Dorian Finney-Smith,placed on IL with left knee tendinitis
25910,10/30/2017,Pelicans,NA,Charles Cooke,placed on IL
25911,10/30/2017,Pelicans,NA,Jalen Jones,placed on IL
25912,10/30/2017,Rockets,NA,Briante Weber,placed on IL
25914,10/30/2017,Warriors,NA,Kevon Looney,placed on IL
25916,10/31/2017,Kings,NA,Garrett Temple,placed on IL for rest
25917,10/31/2017,Kings,NA,JaKarr Sampson,placed on IL
25920,10/31/2017,Nets,NA,Isaiah Whitehead,placed on IL
25923,11/1/2017,Blazers,NA,Meyers Leonard,placed on IL with sprained right ankle
25925,11/1/2017,Cavaliers,NA,Iman Shumpert,placed on IL with sore right knee
25928,11/1/2017,Hawks,NA,Josh Magette,placed on IL
25930,11/1/2017,Jazz,NA,Joe Johnson,placed on IL with sore right wrist
25932,11/1/2017,Kings,NA,Georgios Papagiannis / Giorgios Papagiannis / George Papagiannis,placed on IL
25934,11/1/2017,Mavericks,NA,Gian Clavell,placed on IL
25935,11/1/2017,Raptors,NA,Bruno Caboclo,placed on IL
25937,11/1/2017,Rockets,NA,Troy Williams,placed on IL
25938,11/1/2017,Wizards,NA,Otto Porter Jr.,placed on IL with stomach virus
25941,11/2/2017,Blazers,NA,Al-Farouq Aminu,placed on IL with sprained right ankle
25942,11/2/2017,Spurs,NA,Matt Costello,placed on IL
25944,11/3/2017,76ers,NA,Furkan Korkmaz,placed on IL
25946,11/3/2017,Cavaliers,NA,Tristan Thompson,placed on IL with strained left calf
25948,11/3/2017,Hornets,NA,Marcus Paige,placed on IL
25950,11/3/2017,Lakers,NA,Andrew Bogut,placed on IL with tightness in back
25951,11/3/2017,Lakers,NA,Larry Nance Jr.,placed on IL recovering from surgery on left hand/thumb to repair fracture
25953,11/3/2017,Magic,NA,Khem Birch,placed on IL
25957,11/3/2017,Pistons,NA,Jon Leuer,placed on IL with sprained left ankle
25959,11/3/2017,Raptors,NA,C.J. Miles,placed on IL with flu
25962,11/4/2017,Grizzlies,NA,Ivan Rabb,placed on IL
25963,11/4/2017,Grizzlies,NA,Kobi Simmons,placed on IL
25965,11/4/2017,Warriors,NA,Shaun Livingston,placed on IL
25970,11/5/2017,Lakers,NA,Luol Deng,placed on IL
25973,11/5/2017,Pacers,NA,T.J. Leaf,placed on IL with sprained left ankle
25974,11/5/2017,Raptors,NA,Alfonzo McKinnie,placed on IL
25976,11/5/2017,Spurs,NA,Derrick White,placed on IL with fractured right wrist
25977,11/5/2017,Wizards,NA,John Wall (Hildred),placed on IL with sprained left shoulder
25979,11/6/2017,Celtics,NA,Marcus Morris,placed on IL with rehab of left knee
25980,11/6/2017,Hawks,NA,Mike Muscala,placed on IL with sprained left ankle
25981,11/6/2017,Nets,NA,Jarrett Allen,placed on IL with strained left foot
25983,11/6/2017,Warriors,NA,David West,placed on IL for rest
25986,11/7/2017,76ers,NA,Joel Embiid,placed on IL for rest
25988,11/7/2017,Bulls,NA,David Nwaba,placed on IL with sprained right ankle
25991,11/7/2017,Kings,NA,Georgios Papagiannis / Giorgios Papagiannis / George Papagiannis,placed on IL
25992,11/7/2017,Mavericks,NA,Gian Clavell,placed on IL
25994,11/7/2017,Nets,NA,Trevor Booker,placed on IL with sore lower back
25995,11/7/2017,Pacers,NA,Domantas Sabonis,placed on IL with bruised right calf
25998,11/7/2017,Raptors,NA,Bruno Caboclo,placed on IL
26001,11/8/2017,Celtics,NA,Al Horford,placed on IL with concussion
26002,11/8/2017,Celtics,NA,Jabari Bird,placed on IL
26004,11/8/2017,Heat,NA,Tyler Johnson,placed on IL with illness
26005,11/8/2017,Knicks,NA,Kristaps Porzingis,placed on IL with sprained left ankle
26007,11/8/2017,Lakers,NA,Thomas Bryant,placed on IL
26009,11/8/2017,Magic,NA,D.J. Augustine,placed on IL with strained left hamstring (DTD)
26011,11/8/2017,Pistons,NA,Stanley Johnson,placed on IL with left hip flexor injury
26013,11/8/2017,Warriors,NA,Kevin Durant,placed on IL with bruised left thigh
26015,11/9/2017,76ers,NA,Jerryd Bayless,placed on IL with bruised left wrist
26018,11/9/2017,Cavaliers,NA,Derrick Rose,placed on IL with sprained left ankle
26019,11/9/2017,Kings,NA,Vince Carter,placed on IL with kidney stone
26020,11/9/2017,Nuggets,NA,Tyler Lydon,placed on IL with ankle injury
26021,11/9/2017,Raptors,NA,Alfonzo McKinnie,placed on IL
26022,11/10/2017,Bucks,NA,Mirza Teletovic,placed on IL with sore left knee
26023,11/10/2017,Bucks,NA,Sterling Brown,placed on IL
26025,11/10/2017,Bulls,NA,Antonio Blakeney,placed on IL
26027,11/10/2017,Clippers,NA,Patrick Beverley,placed on IL with sore right knee
26030,11/10/2017,Heat,NA,Derrick Walton Jr.,placed on IL
26032,11/10/2017,Magic,NA,Wesley Iwundu / Wes Iwundu,placed on IL
26033,11/10/2017,Nets,NA,Tyler Zeller,placed on IL with illness
26035,11/10/2017,Pacers,NA,Alex Poythress,placed on IL
26037,11/10/2017,Spurs,NA,Darrun Hilliard,placed on IL
26038,11/10/2017,Suns,NA,Greg Monroe,placed on IL with strained left calf
26039,11/10/2017,Suns,NA,Tyson Chandler,placed on IL with back spasms
26040,11/10/2017,Thunder,NA,Steven Adams,placed on IL with bruised right calf
26042,11/11/2017,76ers,NA,Nik Stauskas,placed on IL with sprained right ankle
26045,11/11/2017,Hawks,NA,Ersan Ilyasova,placed on IL with bone bruise
26047,11/11/2017,Kings,NA,Harry Giles III,placed on IL recovering from surgery / rehab of knees (out for season)
26048,11/11/2017,Knicks,NA,Mindaugas Kuzminskas,placed on IL
26050,11/11/2017,Nets,NA,Spencer Dinwiddie,placed on IL with tightness in right hamstring
26052,11/11/2017,Nuggets,NA,Gary Harris,placed on IL with sore right shoulder
26054,11/11/2017,Spurs,NA,Danny Green,placed on IL for rest
26057,11/11/2017,Suns,NA,Derrick Jones Jr.,placed on IL
26058,11/11/2017,Suns,NA,Jared Dudley,placed on IL with sprained right knee
26061,11/11/2017,Warriors,NA,Andre Iguodala,placed on IL for rest
26063,11/12/2017,Celtics,NA,Kyrie Irving,placed on IL with minor facial fracture
26065,11/12/2017,Mavericks,NA,Devin Harris,placed on IL with bruised ribs
26067,11/12/2017,Raptors,NA,Alfonzo McKinnie,placed on IL
26068,11/13/2017,76ers,NA,Jahlil Okafor,placed on IL with upper respiratory infection
26069,11/13/2017,Grizzlies,NA,Deyonta Davis,placed on IL
26071,11/13/2017,Hawks,NA,DeAndre' Bembry,placed on IL recovering from surgery on right wrist to repair fracture
26072,11/13/2017,Hawks,NA,Tyler Dorsey,placed on IL
26073,11/13/2017,Jazz,NA,Rudy Gobert,placed on IL with bruised tibia in right leg
26076,11/13/2017,Suns,NA,Alec Peters,placed on IL
26077,11/13/2017,Warriors,NA,Jordan Bell,placed on IL
26078,11/13/2017,Warriors,NA,Stephen Curry,placed on IL with bruised right thigh
26082,11/14/2017,Celtics,NA,Jabari Bird,placed on IL
26085,11/14/2017,Mavericks,NA,Dorian Finney-Smith,placed on IL with tendinitis in left knee/quadriceps
26086,11/14/2017,Nets,NA,D'Angelo Russell,placed on IL with bruised left knee
26087,11/14/2017,Nets,NA,Jacob Wiley / Jake Wiley,placed on IL
26090,11/14/2017,Raptors,NA,Norman Powell,placed on IL with right hip pointer
26091,11/14/2017,Spurs,NA,Darrun Hilliard,placed on IL
26092,11/14/2017,Spurs,NA,Matt Costello,placed on IL
26095,11/15/2017,76ers,NA,James Michael McAdoo / James McAdoo (Michael),placed on IL
26100,11/15/2017,Grizzlies,NA,Mike Conley Jr.,placed on IL with sore left Achilles (out for season)
26103,11/15/2017,Hornets,NA,Treveon Graham,placed on IL with bruised right quadriceps
26105,11/15/2017,Jazz,NA,Nate Wolters,placed on IL
26106,11/15/2017,Lakers,NA,Ivica Zubac,placed on IL
26107,11/15/2017,Lakers,NA,Josh Hart,placed on IL
26109,11/15/2017,Pacers,NA,Ike Anigbogu,placed on IL
26113,11/15/2017,Pistons,NA,Henry Ellenson,placed on IL
26114,11/15/2017,Pistons,NA,Luis Montero,placed on IL
26117,11/15/2017,Thunder,NA,Kyle Singler,placed on IL
26119,11/15/2017,Hawks,NA,Nicolas Brussino,placed on IL
26121,11/16/2017,Rockets,NA,Demetrius Jackson,placed on IL
26122,11/16/2017,Rockets,NA,Luc Richard Mbah a Moute / Luc Mbah a Moute,placed on IL with illness
26124,11/16/2017,Suns,NA,Tyson Chandler,placed on IL with illness
26126,11/16/2017,Warriors,NA,Quinn Cook,placed on IL
26128,11/17/2017,Clippers,NA,C.J. Williams,placed on IL
26129,11/17/2017,Clippers,NA,Danilo Gallinari,placed on IL with strained left gluteus muscle
26132,11/17/2017,Heat,NA,Okaro White,placed on IL with fractured left foot (surgery)
26134,11/17/2017,Jazz,NA,Thabo Sefolosha,placed on IL with sore right knee
26135,11/17/2017,Kings,NA,Georgios Papagiannis / Giorgios Papagiannis / George Papagiannis,placed on IL
26138,11/17/2017,Nuggets,NA,Richard Jefferson,placed on IL
26140,11/17/2017,Pistons,NA,Jon Leuer,placed on IL with sprained left ankle (surgery) (out for season)
26142,11/17/2017,Raptors,NA,Delon Wright,placed on IL with dislocated right shoulder
26143,11/17/2017,Raptors,NA,Serge Ibaka,placed on IL with swelling in left knee
26147,11/17/2017,Thunder,NA,Daniel Hamilton,placed on IL
26151,11/18/2017,Bucks,NA,Matthew Dellavedova,placed on IL with left knee tendinitis
26152,11/18/2017,Grizzlies,NA,Wayne Selden Jr.,placed on IL with sore right quadriceps
26154,11/18/2017,Hawks,NA,Isaiah Taylor,placed on IL with eye contusion
26157,11/18/2017,Kings,NA,Buddy Hield,placed on IL with sore/sprained right ankle
26161,11/19/2017,Lakers,NA,Vander Blue,placed on IL
26164,11/19/2017,Nuggets,NA,Malik Beasley,placed on IL
26168,11/19/2017,Suns,NA,Alec Peters,placed on IL
26169,11/19/2017,Warriors,NA,Kevin Durant,placed on IL with sprained left ankle
26173,11/20/2017,Cavaliers,NA,Iman Shumpert,placed on IL with left knee injury
26174,11/20/2017,Grizzlies,NA,Brandan Wright,placed on IL with right groin injury
26175,11/20/2017,Hawks,NA,Mike Muscala,placed on IL with sprained left ankle
26177,11/20/2017,Kings,NA,Jack Cooley,placed on IL
26178,11/20/2017,Magic,NA,Jonathan Isaac,placed on IL with sprained right ankle
26179,11/20/2017,Nuggets,NA,Paul Millsap,placed on IL with sprained left wrist
26180,11/20/2017,Nuggets,NA,Wilson Chandler,placed on IL with sore lower back
26184,11/22/2017,76ers,NA,Justin Anderson,placed on IL with shin splints in left leg
26186,11/22/2017,Bucks,NA,John Henson,placed on IL with eye procedure
26189,11/22/2017,Clippers,NA,Brice Johnson,placed on IL
26191,11/22/2017,Hawks,NA,Luke Babbitt,placed on IL with lower back injury
26193,11/22/2017,Jazz,NA,Nate Wolters,placed on IL
26196,11/22/2017,Lakers,NA,Thomas Bryant,placed on IL
26197,11/22/2017,Magic,NA,Khem Birch,placed on IL
26198,11/22/2017,Nuggets,NA,Tyler Lydon,placed on IL
26200,11/22/2017,Pelicans,NA,Charles Cooke,placed on IL
26201,11/22/2017,Pelicans,NA,Jalen Jones,placed on IL
26204,11/22/2017,Rockets,NA,Ryan Anderson,placed on IL with illness
26207,11/22/2017,Warriors,NA,Jordan Bell,placed on IL
26211,11/22/2017,Clippers,NA,Patrick Beverley,placed on IL recovering from arthroscopic surgery on right knee to repair lateral meniscus (out for season)
26212,11/22/2017,Raptors,NA,Bruno Caboclo,placed on IL
26214,11/24/2017,Knicks,NA,Enes Kanter / Enes Freedom,placed on IL with back spasms
26215,11/24/2017,Knicks,NA,Joakim Noah,placed on IL with illness
26218,11/24/2017,Timberwolves,NA,Nemanja Bjelica,placed on IL with sprained left foot
26220,11/24/2017,Warriors,NA,Draymond Green,placed on IL for rest
26221,11/24/2017,Warriors,NA,Kevin Durant,placed on IL with sprained left ankle
26226,11/25/2017,Bucks,NA,D.J. Wilson,placed on IL
26228,11/25/2017,Celtics,NA,Marcus Morris,placed on IL
26231,11/25/2017,Pacers,NA,Victor Oladipo,placed on IL with bruised right knee
26233,11/25/2017,Rockets,NA,Zhou Qi / Qi Zhou,placed on IL
26235,11/25/2017,Warriors,NA,Quinn Cook,placed on IL
26237,11/25/2017,Wizards,NA,John Wall (Hildred),placed on IL with sore left knee / left knee inflammation
